source_record_id,refund_id,order_id,refund_reason,refund_requested_ts,refund_approved_ts,refund_status,refund_amount_inr,refund_channel,source_system
REFREC000001,QBF000001,QBO0063017,order_cancelled,2026-01-24T13:31:00,2026-01-26T14:46:00,APPROVED,142.21,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000002,QBF000002,QBO0143263,restaurant_cancelled,2026-01-10T13:02:00,2026-01-11T02:57:00,APPROVED,61.64,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000003,QBF000003,QBO0054599,service_quality,2026-02-26T07:13:00,2026-02-28T03:14:00,APPROVED,191.51,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000004,QBF000004,QBO0007177,missing_item,2026-01-07T15:38:00,2026-01-07T21:43:00,APPROVED,260.81,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000005,QBF000005,QBO0134007,late_delivery,2026-02-02T07:33:00,2026-02-05T05:43:00,APPROVED,64.45,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000006,QBF000006,QBO0072135,missing_item,2026-02-05T03:32:00,2026-02-07T03:33:00,REJECTED,158.15,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000007,QBF000007,QBO0083700,order_cancelled,2026-03-28T14:59:00,,REQUESTED,58.98,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000008,QBF000008,QBO0005562,late_delivery,2026-01-30T16:29:00,2026-01-31T13:23:00,APPROVED,405.44,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000009,QBF000009,QBO0103056,service_quality,2026-03-01T04:47:00,2026-03-03T13:32:00,APPROVED,151.78,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000010,QBF000010,QBO0013544,service_quality,2026-02-13T01:44:00,2026-02-14T08:46:00,APPROVED,242.71,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000011,QBF000011,QBO0062625,service_quality,2026-03-17T06:34:00,2026-03-18T09:19:00,APPROVED,119.55,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000012,QBF000012,QBO0087627,service_quality,2026-02-05T09:50:00,2026-02-07T02:48:00,APPROVED,49.57,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000013,QBF000013,QBO0028594,service_quality,2026-02-15T15:25:00,2026-02-16T16:55:00,APPROVED,67.54,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000014,QBF000014,QBO0115357,restaurant_cancelled,2026-03-15T11:27:00,2026-03-16T02:54:00,APPROVED,127.05,WALLET_CREDIT,QUICKBITE_REFUND_V1
REFREC000015,QBF000015,QBO0082835,service_quality,2026-03-24T01:51:00,2026-03-26T12:05:00,REJECTED,105.45,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
REFREC000016,QBF000016,QBO0128464,missing_item,2026-03-19T15:41:00,2026-03-21T03:05:00,APPROVED,41.81,ORIGINAL_PAYMENT,QUICKBITE_REFUND_V1
