rider_id,home_city,service_zone,zone_group,vehicle_type,service_status,max_service_radius_km,shift_type,onboarding_date,record_updated_at
QBD00001,Bengaluru,BLR_INDIRANAGAR,EAST,MOTORBIKE,ACTIVE,4.4,FLEX,2021-08-22,2026-03-30T11:11:00
QBD00002,Pune,PUN_VIMAN_NAGAR,EAST,SCOOTER,TEMPORARILY_PAUSED,7.5,EVENING,2022-04-27,2026-03-13T03:20:00
QBD00003,Bengaluru,BLR_JAYANAGAR,SOUTH,MOTORBIKE,ACTIVE,12.2,EVENING,2020-06-07,2026-03-03T22:44:00
QBD00004,Pune,PUN_VIMAN_NAGAR,EAST,MOTORBIKE,ACTIVE,5.6,EVENING,2023-04-16,2026-03-24T08:42:00
QBD00005,Hyderabad,HYD_HITECH_CITY,WEST,SCOOTER,ACTIVE,5.0,FLEX,2020-10-28,2026-03-05T06:54:00
QBD00006,Hyderabad,HYD_HITECH_CITY,WEST,MOTORBIKE,ACTIVE,4.7,MORNING,2021-03-07,2026-03-19T11:03:00
QBD00007,Bengaluru,BLR_JAYANAGAR,SOUTH,SCOOTER,ACTIVE,8.7,EVENING,2021-04-07,2026-03-25T19:41:00
QBD00008,Pune,PUN_KOTHRUD,WEST,SCOOTER,ACTIVE,9.2,FLEX,2021-12-11,2026-03-04T20:06:00
QBD00009,Hyderabad,HYD_BANJARA_HILLS,CENTRAL,BICYCLE,ACTIVE,4.6,FLEX,2022-12-28,2026-03-29T16:15:00
QBD00010,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,6.2,EVENING,2021-08-07,2026-03-04T00:54:00
QBD00011,Pune,PUN_HINJAWADI,WEST,MOTORBIKE,ACTIVE,9.0,FLEX,2022-03-11,2026-03-17T21:46:00
QBD00012,Bengaluru,BLR_WHITEFIELD,EAST,SCOOTER,ACTIVE,12.7,MORNING,2022-05-01,2026-03-03T20:31:00
QBD00013,Bengaluru,BLR_INDIRANAGAR,EAST,MOTORBIKE,ACTIVE,9.2,MORNING,2024-02-26,2026-03-23T19:44:00
QBD00014,Bengaluru,BLR_WHITEFIELD,EAST,MOTORBIKE,ACTIVE,10.7,FLEX,2023-09-22,2026-03-21T13:09:00
QBD00015,Hyderabad,HYD_KUKATPALLY,NORTH,MOTORBIKE,ACTIVE,10.9,FLEX,2025-11-20,2026-03-07T06:53:00
QBD00016,Bengaluru,BLR_KORAMANGALA,SOUTH,E_BIKE,TEMPORARILY_PAUSED,11.6,MORNING,2021-05-18,2026-03-21T10:09:00
QBD00017,Bengaluru,BLR_JAYANAGAR,SOUTH,BICYCLE,INACTIVE,12.9,MORNING,2022-03-18,2026-03-19T13:26:00
QBD00018,Pune,PUN_BANER,NORTH,MOTORBIKE,ACTIVE,12.3,FLEX,2020-12-06,2026-03-19T19:36:00
QBD00019,Hyderabad,HYD_GACHIBOWLI,WEST,E_BIKE,ACTIVE,8.1,MORNING,2022-12-11,2026-03-04T05:32:00
QBD00020,Hyderabad,HYD_KUKATPALLY,NORTH,MOTORBIKE,ACTIVE,9.3,FLEX,2022-06-22,2026-03-24T16:21:00
